Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_name
2023-12-19 00:00:00+00:00,2218.240966796875,2253.348876953125,2139.723388671875,2177.87255859375,10619179629,0.0,0.0,ETH-USD
2023-12-20 00:00:00+00:00,2177.239501953125,2263.3291015625,2161.21875,2201.911376953125,12652290807,0.0,0.0,ETH-USD
2023-12-21 00:00:00+00:00,2201.7900390625,2278.12158203125,2184.856689453125,2239.54248046875,12616530536,0.0,0.0,ETH-USD
2023-12-22 00:00:00+00:00,2239.59814453125,2341.947509765625,2233.53271484375,2326.52490234375,16137246310,0.0,0.0,ETH-USD
2023-12-23 00:00:00+00:00,2326.7158203125,2332.072021484375,2270.428955078125,2309.04638671875,7995772945,0.0,0.0,ETH-USD
2023-12-24 00:00:00+00:00,2309.626708984375,2325.705078125,2249.984375,2265.692138671875,9450799236,0.0,0.0,ETH-USD
2023-12-25 00:00:00+00:00,2265.340576171875,2303.551025390625,2254.574462890625,2272.561767578125,8036302656,0.0,0.0,ETH-USD
2023-12-26 00:00:00+00:00,2272.21875,2274.557373046875,2180.225341796875,2231.46533203125,10668581464,0.0,0.0,ETH-USD
2023-12-27 00:00:00+00:00,2231.39306640625,2392.608642578125,2215.140380859375,2378.739990234375,14161342927,0.0,0.0,ETH-USD
2023-12-28 00:00:00+00:00,2380.20068359375,2445.017578125,2338.703857421875,2347.566162109375,15660799060,0.0,0.0,ETH-USD
2023-12-29 00:00:00+00:00,2346.84375,2386.004638671875,2262.975830078125,2300.690673828125,12536968996,0.0,0.0,ETH-USD
2023-12-30 00:00:00+00:00,2300.399658203125,2322.021484375,2270.011962890625,2292.0654296875,6888195427,0.0,0.0,ETH-USD
2023-12-31 00:00:00+00:00,2291.9453125,2318.512939453125,2261.394287109375,2281.47119140625,6871481744,0.0,0.0,ETH-USD
2024-01-01 00:00:00+00:00,2282.870361328125,2352.327880859375,2267.01806640625,2352.327880859375,6906765990,0.0,0.0,ETH-USD
2024-01-02 00:00:00+00:00,2352.593505859375,2431.21240234375,2348.892333984375,2355.83642578125,12910543630,0.0,0.0,ETH-USD
